WGS84 UTM 15N
576705 5188170
42.1640715622 7.79976094514 198.509
-13.0473602326 23.6060202476 198.609
-41.9020742817 -5.44387012906 198.309
23.5500446174 24.0161886178 198.409
4.66490043967 -31.0334486905 198.709
4.14758571889 4.38903336506 198.609
23.5480096989 -11.7000630759 198.609
6.04156664677 43.0685677975 198.509
14.0149130981 -21.2475343999 198.609
-31.9096916749 3.97355331574 198.609
-3.64582513284 33.333911594 198.509
32.8823618339 -2.01928423159 198.509
-5.16605493869 -41.146580019 198.609
-5.52098709112 -5.16631692182 198.509
-24.3855393535 -24.4654121501 198.609
13.8221430614 13.80555123 198.509
-22.2821419316 13.756790543 198.609
-15.0720108545 -14.6398771834 198.609
